action,column,method,rows_affected
fill,rep_meth,fill_not_reported,3365
convert,rel_with_new_flg,to_bool,6399
convert,used_2021_defs_flg,to_bool,6399
convert,iso_numeric,to_numeric_coerce,0
convert,new_sp_coh,to_numeric_coerce,3347
convert,new_sp_cur,to_numeric_coerce,3454
convert,new_sp_cmplt,to_numeric_coerce,3456
convert,new_sp_died,to_numeric_coerce,3407
convert,new_sp_fail,to_numeric_coerce,3523
convert,new_sp_def,to_numeric_coerce,3445
convert,c_new_sp_tsr,to_numeric_coerce,3393
convert,new_snep_coh,to_numeric_coerce,5098
convert,new_snep_cmplt,to_numeric_coerce,5110
convert,new_snep_died,to_numeric_coerce,5132
convert,new_snep_fail,to_numeric_coerce,5210
convert,new_snep_def,to_numeric_coerce,5140
convert,c_new_snep_tsr,to_numeric_coerce,5179
convert,ret_coh,to_numeric_coerce,3997
convert,ret_cur,to_numeric_coerce,4058
convert,ret_cmplt,to_numeric_coerce,4077
convert,ret_died,to_numeric_coerce,4078
convert,ret_fail,to_numeric_coerce,4127
convert,ret_def,to_numeric_coerce,4082
convert,hiv_new_sp_coh,to_numeric_coerce,5580
convert,hiv_new_sp_cur,to_numeric_coerce,5628
convert,hiv_new_sp_cmplt,to_numeric_coerce,5632
convert,hiv_new_sp_died,to_numeric_coerce,5617
convert,hiv_new_sp_fail,to_numeric_coerce,5663
convert,hiv_new_sp_def,to_numeric_coerce,5647
convert,hiv_new_snep_coh,to_numeric_coerce,5632
convert,hiv_new_snep_cmplt,to_numeric_coerce,5651
convert,hiv_new_snep_died,to_numeric_coerce,5679
convert,hiv_new_snep_fail,to_numeric_coerce,5717
convert,hiv_new_snep_def,to_numeric_coerce,5688
convert,hiv_ret_coh,to_numeric_coerce,5667
convert,hiv_ret_cur,to_numeric_coerce,5711
convert,hiv_ret_cmplt,to_numeric_coerce,5706
convert,hiv_ret_died,to_numeric_coerce,5702
convert,hiv_ret_fail,to_numeric_coerce,5724
convert,hiv_ret_def,to_numeric_coerce,5707
convert,used_2021_defs_flg,to_numeric_coerce,0
convert,newrel_coh,to_numeric_coerce,4058
convert,newrel_succ,to_numeric_coerce,4070
convert,newrel_fail,to_numeric_coerce,4104
convert,newrel_died,to_numeric_coerce,4084
convert,newrel_lost,to_numeric_coerce,4094
convert,c_new_tsr,to_numeric_coerce,1102
convert,ret_nrel_coh,to_numeric_coerce,4209
convert,ret_nrel_succ,to_numeric_coerce,4236
convert,ret_nrel_fail,to_numeric_coerce,4247
convert,ret_nrel_died,to_numeric_coerce,4245
convert,ret_nrel_lost,to_numeric_coerce,4246
convert,c_ret_tsr,to_numeric_coerce,2460
convert,tbhiv_coh,to_numeric_coerce,4451
convert,tbhiv_succ,to_numeric_coerce,4488
convert,tbhiv_fail,to_numeric_coerce,4497
convert,tbhiv_died,to_numeric_coerce,4489
convert,tbhiv_lost,to_numeric_coerce,4495
convert,c_tbhiv_tsr,to_numeric_coerce,4248
convert,mdr_coh,to_numeric_coerce,3355
convert,mdr_succ,to_numeric_coerce,3438
convert,mdr_fail,to_numeric_coerce,3522
convert,mdr_died,to_numeric_coerce,3471
convert,mdr_lost,to_numeric_coerce,3486
convert,xdr_coh,to_numeric_coerce,3992
convert,xdr_succ,to_numeric_coerce,4097
convert,xdr_fail,to_numeric_coerce,4113
convert,xdr_died,to_numeric_coerce,4108
convert,xdr_lost,to_numeric_coerce,4113
convert,year,to_numeric_coerce,0
infer,new_sp_coh,sum_components,3347
infer,new_snep_coh,sum_components,5098
infer,ret_coh,sum_components,3997
compute,data_completeness_score,,6399
